time,open,high,low,close,volume,signal,Date
1541185200,1.1385,1.13857,1.13749,1.13823,2691,0,2018-11-02 19:00:00
1617267600,1.17166,1.17328,1.17121,1.17314,1659,0,2021-04-01 09:00:00
1468807200,1.10573,1.10589,1.10507,1.10551,3088,0,2016-07-18 02:00:00
1483596000,1.05196,1.05281,1.05169,1.05255,2981,0,2017-01-05 06:00:00
1685077200,1.07318,1.07365,1.07313,1.07332,1282,0,2023-05-26 05:00:00
1721077200,1.08938,1.09008,1.08924,1.09004,2964,0,2024-07-15 21:00:00
1423699200,1.13317,1.13513,1.13211,1.13293,2623,-1,2015-02-12 00:00:00
1732046400,1.05792,1.05893,1.05699,1.05889,3524,0,2024-11-19 20:00:00
1572426000,1.11141,1.11226,1.11118,1.11206,1743,0,2019-10-30 09:00:00
1447156800,1.07359,1.07438,1.07296,1.07344,3917,0,2015-11-10 12:00:00
1531879200,1.16573,1.16573,1.16478,1.16525,1622,-1,2018-07-18 02:00:00
1675951200,1.07622,1.07713,1.07581,1.07685,3455,0,2023-02-09 14:00:00
1713254400,1.06133,1.06196,1.06127,1.06175,1516,0,2024-04-16 08:00:00
1702544400,1.09008,1.0907,1.08801,1.08802,5359,0,2023-12-14 09:00:00
1693526400,1.08342,1.08427,1.08342,1.08403,717,0,2023-09-01 00:00:00
1599141600,1.18117,1.18126,1.18012,1.18125,1700,0,2020-09-03 14:00:00
1547726400,1.13928,1.14012,1.13879,1.13993,3025,0,2019-01-17 12:00:00
1728918000,1.09113,1.09158,1.09063,1.09086,3423,0,2024-10-14 15:00:00
1699891200,1.06719,1.06793,1.06671,1.0676,4139,0,2023-11-13 16:00:00
1713463200,1.06528,1.06639,1.06527,1.06589,4018,0,2024-04-18 18:00:00
1542826800,1.13919,1.14017,1.13795,1.13952,2460,0,2018-11-21 19:00:00
1472760000,1.11969,1.12024,1.11902,1.11923,2532,0,2016-09-01 20:00:00
1592308800,1.13355,1.13404,1.13213,1.13328,2138,0,2020-06-16 12:00:00
1661428800,1.00063,1.00105,0.99862,0.99962,3909,0,2022-08-25 12:00:00
1614967200,1.19063,1.19166,1.19052,1.19129,4867,0,2021-03-05 18:00:00
1468299600,1.10761,1.10903,1.10727,1.1086,3525,0,2016-07-12 05:00:00
1446523200,1.10099,1.10148,1.10098,1.10139,800,0,2015-11-03 04:00:00
1527174000,1.17129,1.17365,1.17124,1.17258,7968,0,2018-05-24 15:00:00
1497268800,1.12248,1.12255,1.12151,1.12158,1305,0,2017-06-12 12:00:00
1582790400,1.09069,1.0917,1.09051,1.09103,1642,0,2020-02-27 08:00:00
1464742800,1.11289,1.11328,1.11277,1.11307,2024,0,2016-06-01 01:00:00
1429225200,1.07691,1.07709,1.07563,1.07601,2669,0,2015-04-16 23:00:00
1500994800,1.1666,1.16984,1.1666,1.16879,2611,0,2017-07-25 15:00:00
1426100400,1.05721,1.05765,1.05105,1.05309,9867,0,2015-03-11 19:00:00
1670878800,1.05217,1.05254,1.05098,1.05214,4643,0,2022-12-12 21:00:00
1462572000,1.13979,1.14067,1.1397,1.14033,2855,0,2016-05-06 22:00:00
1661983200,1.00438,1.00519,1.00399,1.00481,5035,0,2022-08-31 22:00:00
1629403200,1.16875,1.16876,1.16764,1.16768,1056,0,2021-08-19 20:00:00
1493010000,1.08397,1.08397,1.082,1.08373,1899,0,2017-04-24 05:00:00
1612360800,1.20154,1.20221,1.20042,1.20097,1653,0,2021-02-03 14:00:00
1515776400,1.21371,1.21544,1.21317,1.21472,11011,0,2018-01-12 17:00:00
1428681600,1.05889,1.06256,1.05794,1.06028,8629,0,2015-04-10 16:00:00
1437544800,1.09252,1.0936,1.09232,1.09335,3002,0,2015-07-22 06:00:00
1494291600,1.09212,1.09258,1.09181,1.09248,614,0,2017-05-09 01:00:00
1573797600,1.10253,1.10255,1.10237,1.10252,351,0,2019-11-15 06:00:00
1546948800,1.14512,1.14512,1.14334,1.14454,3425,0,2019-01-08 12:00:00
1631113200,1.18216,1.18287,1.18202,1.18202,2518,0,2021-09-08 15:00:00
1662339600,0.99202,0.99316,0.99024,0.9921,3033,0,2022-09-05 01:00:00
1699470000,1.07135,1.07137,1.07003,1.07067,3329,0,2023-11-08 19:00:00
1732820400,1.05529,1.05546,1.05494,1.05518,1236,0,2024-11-28 19:00:00
1441710000,1.11782,1.11886,1.11722,1.11825,6152,0,2015-09-08 11:00:00
1602723600,1.1747,1.17497,1.17398,1.1742,701,0,2020-10-15 01:00:00
1652724000,1.0402,1.04191,1.03967,1.04187,3142,0,2022-05-16 18:00:00
1452502800,1.09309,1.09312,1.08923,1.08998,5019,0,2016-01-11 09:00:00
1634601600,1.16079,1.1611,1.16073,1.16087,426,0,2021-10-19 00:00:00
1704369600,1.09668,1.09714,1.09535,1.09547,4028,0,2024-01-04 12:00:00
1491184800,1.06704,1.06729,1.06667,1.06684,659,0,2017-04-03 02:00:00
1629284400,1.17231,1.17251,1.1717,1.17194,1277,0,2021-08-18 11:00:00
1675450800,1.08241,1.0836,1.08216,1.08239,4398,0,2023-02-03 19:00:00
1623027600,1.21622,1.21662,1.21612,1.21624,463,0,2021-06-07 01:00:00
1468587600,1.11407,1.11429,1.11336,1.11356,4557,0,2016-07-15 13:00:00
1513850400,1.18714,1.188,1.18636,1.18781,5862,0,2017-12-21 10:00:00
1724706000,1.11688,1.11702,1.11586,1.11627,2071,0,2024-08-26 21:00:00
1688043600,1.09161,1.09271,1.09156,1.0927,2023,0,2023-06-29 13:00:00
1430708400,1.11876,1.1194,1.11758,1.11865,2639,0,2015-05-04 03:00:00
1546866000,1.1438,1.14435,1.14326,1.14398,2180,0,2019-01-07 13:00:00
